nombre,trabajo,empresa,descripcion,ubicacion,fecha,salario,duracion
"Desarrollador de aplicaciones web","Tecnología","Tech Solutions","Desarrollador de aplicaciones web","Ciudad de México","2024-05-14",50000,6
"Diseñador de producto","Alimentación","Fresh Foods Inc.","Diseñador de producto","Miami","2024-05-15",60000,8
"Profesor de matemáticas","Educación","LearnFast Academy","Profesor de matemáticas","San Francisco","2024-05-16",55000,7.5
"Diseñador de moda","Moda","Chic Trends","Diseñador de moda","Paris","2024-05-17",65000,9
"Ingeniero automotriz","Automoción","Speedy Motors","Ingeniero automotriz","Detroit","2024-05-18",70000,8
"Analista financiero","Finanzas","Wealth Management Group","Analista financiero","London","2024-05-19",75000,7
"Médico general","Salud","MediCare Solutions","Médico general","Los Angeles","2024-05-20",80000,8
"Guía turístico","Turismo","Adventure Travels","Guía turístico","Sydney","2024-05-21",55000,7
"Ingeniero civil","Construcción","Solid Builders","Ingeniero civil","Dubai","2024-05-22",60000,8.5
"Productor de cine","Entretenimiento","Starlight Entertainment","Productor de cine","Los Angeles","2024-05-23",70000,9
"Periodista","Medios","Global News Network","Periodista","New York","2024-05-24",65000,7
"Gerente de logística","Transporte","Cargo Express","Gerente de logística","Shanghai","2024-05-25",75000,8
"Ingeniero de energías renovables","Energía","EcoPower Solutions","Ingeniero de energías renovables","Houston","2024-05-26",80000,7.5
"Especialista en redes","Comunicaciones","ConnectCom","Especialista en redes","Tokyo","2024-05-27",85000,8
"Consultor de negocios","Consultoría","Strategic Consulting","Consultor de negocios","Washington D.C.","2024-05-28",90000,6.5
"Gerente de tienda","Retail","FashionMart","Gerente de tienda","New York","2024-05-29",70000,7
"Gerente de servicios","Servicios","CityCare Services","Gerente de servicios","Chicago","2024-05-30",75000,8
"Ingeniero industrial","Industria","TechForge Industries","Ingeniero industrial","Seoul","2024-06-01",80000,8.5
"Desarrollador de software","Software","ByteTech","Desarrollador de software","Seattle","2024-06-02",85000,9
"Investigador científico","Biotech","BioGen Solutions","Investigador científico","Boston","2024-06-03",90000,7
